dataset_id,protocol_id,n_sub,replicate_id,classifier_id,fold_id,auc
toy,cv5,100,1,c1,1,0.8174
toy,cv5,100,1,c1,2,0.8819
toy,cv5,100,1,c1,3,0.8887
toy,cv5,100,1,c1,4,0.7846
toy,cv5,100,1,c1,5,0.808
toy,cv5,100,1,c2,1,0.8295
toy,cv5,100,1,c2,2,0.8135
toy,cv5,100,1,c2,3,0.8243
toy,cv5,100,1,c2,4,0.7942
toy,cv5,100,1,c2,5,0.8565
toy,cv5,100,1,c3,1,0.7929
toy,cv5,100,1,c3,2,0.7673
toy,cv5,100,1,c3,3,0.8055
toy,cv5,100,1,c3,4,0.7817
toy,cv5,100,1,c3,5,0.7339
toy,cv5,100,2,c1,1,0.8214
toy,cv5,100,2,c1,2,0.8875
toy,cv5,100,2,c1,3,0.8541
toy,cv5,100,2,c1,4,0.8492
toy,cv5,100,2,c1,5,0.8314
toy,cv5,100,2,c2,1,0.8699
toy,cv5,100,2,c2,2,0.8203
toy,cv5,100,2,c2,3,0.8105
toy,cv5,100,2,c2,4,0.8132
toy,cv5,100,2,c2,5,0.8451
toy,cv5,100,2,c3,1,0.7791
toy,cv5,100,2,c3,2,0.7808
toy,cv5,100,2,c3,3,0.7814
toy,cv5,100,2,c3,4,0.843
toy,cv5,100,2,c3,5,0.7513
toy,cv5,100,3,c1,1,0.8125
toy,cv5,100,3,c1,2,0.864
toy,cv5,100,3,c1,3,0.8824
toy,cv5,100,3,c1,4,0.8377
toy,cv5,100,3,c1,5,0.8116
toy,cv5,100,3,c2,1,0.7821
toy,cv5,100,3,c2,2,0.8352
toy,cv5,100,3,c2,3,0.8386
toy,cv5,100,3,c2,4,0.8314
toy,cv5,100,3,c2,5,0.7878
toy,cv5,100,3,c3,1,0.7602
toy,cv5,100,3,c3,2,0.756
toy,cv5,100,3,c3,3,0.7597
toy,cv5,100,3,c3,4,0.7832
toy,cv5,100,3,c3,5,0.7599
toy,cv5,100,4,c1,1,0.8633
toy,cv5,100,4,c1,2,0.8713
toy,cv5,100,4,c1,3,0.8836
toy,cv5,100,4,c1,4,0.8084
toy,cv5,100,4,c1,5,0.8494
toy,cv5,100,4,c2,1,0.8139
toy,cv5,100,4,c2,2,0.8079
toy,cv5,100,4,c2,3,0.821
toy,cv5,100,4,c2,4,0.8847
toy,cv5,100,4,c2,5,0.7997
toy,cv5,100,4,c3,1,0.8057
toy,cv5,100,4,c3,2,0.7103
toy,cv5,100,4,c3,3,0.7588
toy,cv5,100,4,c3,4,0.7767
toy,cv5,100,4,c3,5,0.792
toy,cv5,100,5,c1,1,0.8899
toy,cv5,100,5,c1,2,0.8488
toy,cv5,100,5,c1,3,0.8447
toy,cv5,100,5,c1,4,0.8923
toy,cv5,100,5,c1,5,0.8545
toy,cv5,100,5,c2,1,0.7855
toy,cv5,100,5,c2,2,0.7906
toy,cv5,100,5,c2,3,0.7983
toy,cv5,100,5,c2,4,0.8493
toy,cv5,100,5,c2,5,0.8365
toy,cv5,100,5,c3,1,0.7962
toy,cv5,100,5,c3,2,0.756
toy,cv5,100,5,c3,3,0.7771
toy,cv5,100,5,c3,4,0.7939
toy,cv5,100,5,c3,5,0.7602
toy,cv5,100,6,c1,1,0.8335
